VT,GM,MM,MKM,TM,Precision,Recall,F1,FP,FN,Abstentions,Coverage
70,18,14,8,3,0.000,0.000,0.000,0,16,18,0.486
70,18,14,10,3,0.000,0.000,0.000,0,16,18,0.486
70,18,16,8,3,0.000,0.000,0.000,0,16,18,0.486
70,18,16,10,3,0.000,0.000,0.000,0,16,18,0.486
70,18,18,8,3,0.000,0.000,0.000,0,16,18,0.486
70,18,18,10,3,0.000,0.000,0.000,0,16,18,0.486
70,20,14,8,3,0.000,0.000,0.000,0,16,18,0.486
70,20,14,10,3,0.000,0.000,0.000,0,16,18,0.486
70,20,16,8,3,0.000,0.000,0.000,0,16,18,0.486
70,20,16,10,3,0.000,0.000,0.000,0,16,18,0.486
70,20,18,8,3,0.000,0.000,0.000,0,16,18,0.486
70,20,18,10,3,0.000,0.000,0.000,0,16,18,0.486
70,22,14,8,3,0.000,0.000,0.000,0,16,18,0.486
70,22,14,10,3,0.000,0.000,0.000,0,16,18,0.486
70,22,16,8,3,0.000,0.000,0.000,0,16,18,0.486
70,22,16,10,3,0.000,0.000,0.000,0,16,18,0.486
70,22,18,8,3,0.000,0.000,0.000,0,16,18,0.486
70,22,18,10,3,0.000,0.000,0.000,0,16,18,0.486
75,18,14,8,3,0.000,0.000,0.000,0,16,18,0.486
75,18,14,10,3,0.000,0.000,0.000,0,16,18,0.486
75,18,16,8,3,0.000,0.000,0.000,0,16,18,0.486
75,18,16,10,3,0.000,0.000,0.000,0,16,18,0.486
75,18,18,8,3,0.000,0.000,0.000,0,16,18,0.486
75,18,18,10,3,0.000,0.000,0.000,0,16,18,0.486
75,20,14,8,3,0.000,0.000,0.000,0,16,18,0.486
75,20,14,10,3,0.000,0.000,0.000,0,16,18,0.486
75,20,16,8,3,0.000,0.000,0.000,0,16,18,0.486
75,20,16,10,3,0.000,0.000,0.000,0,16,18,0.486
75,20,18,8,3,0.000,0.000,0.000,0,16,18,0.486
75,20,18,10,3,0.000,0.000,0.000,0,16,18,0.486
75,22,14,8,3,0.000,0.000,0.000,0,16,18,0.486
75,22,14,10,3,0.000,0.000,0.000,0,16,18,0.486
75,22,16,8,3,0.000,0.000,0.000,0,16,18,0.486
75,22,16,10,3,0.000,0.000,0.000,0,16,18,0.486
75,22,18,8,3,0.000,0.000,0.000,0,16,18,0.486
75,22,18,10,3,0.000,0.000,0.000,0,16,18,0.486
80,18,14,8,3,0.000,0.000,0.000,0,16,18,0.486
80,18,14,10,3,0.000,0.000,0.000,0,16,18,0.486
80,18,16,8,3,0.000,0.000,0.000,0,16,18,0.486
80,18,16,10,3,0.000,0.000,0.000,0,16,18,0.486
80,18,18,8,3,0.000,0.000,0.000,0,16,18,0.486
80,18,18,10,3,0.000,0.000,0.000,0,16,18,0.486
80,20,14,8,3,0.000,0.000,0.000,0,16,18,0.486
80,20,14,10,3,0.000,0.000,0.000,0,16,18,0.486
80,20,16,8,3,0.000,0.000,0.000,0,16,18,0.486
80,20,16,10,3,0.000,0.000,0.000,0,16,18,0.486
80,20,18,8,3,0.000,0.000,0.000,0,16,18,0.486
80,20,18,10,3,0.000,0.000,0.000,0,16,18,0.486
