VT,GM,MM,MKM,TM,Precision,Recall,F1,FP,FN,Abstentions,Coverage
60,14,10,0,2,1.000,0.562,0.720,0,7,21,0.400
65,16,12,4,3,1.000,0.438,0.609,0,9,21,0.400
65,16,14,4,3,1.000,0.438,0.609,0,9,21,0.400
65,18,12,4,3,1.000,0.438,0.609,0,9,21,0.400
65,16,12,8,3,1.000,0.438,0.609,0,9,21,0.400
65,18,14,4,3,1.000,0.438,0.609,0,9,21,0.400
65,16,14,8,3,1.000,0.438,0.609,0,9,21,0.400
65,18,12,8,3,1.000,0.438,0.609,0,9,21,0.400
65,18,14,8,3,1.000,0.438,0.609,0,9,21,0.400
70,16,12,4,3,1.000,0.312,0.476,0,11,23,0.343
70,16,14,4,3,1.000,0.312,0.476,0,11,23,0.343
70,18,12,4,3,1.000,0.312,0.476,0,11,23,0.343
70,16,12,8,3,1.000,0.312,0.476,0,11,23,0.343
70,18,14,4,3,1.000,0.312,0.476,0,11,23,0.343
70,16,14,8,3,1.000,0.312,0.476,0,11,23,0.343
70,18,12,8,3,1.000,0.312,0.476,0,11,23,0.343
70,18,14,8,3,1.000,0.312,0.476,0,11,23,0.343
75,16,12,4,3,1.000,0.188,0.316,0,13,25,0.286
75,16,14,4,3,1.000,0.188,0.316,0,13,25,0.286
75,18,12,4,3,1.000,0.188,0.316,0,13,25,0.286
75,16,12,8,3,1.000,0.188,0.316,0,13,25,0.286
75,18,14,4,3,1.000,0.188,0.316,0,13,25,0.286
75,16,14,8,3,1.000,0.188,0.316,0,13,25,0.286
75,18,12,8,3,1.000,0.188,0.316,0,13,25,0.286
75,18,14,8,3,1.000,0.188,0.316,0,13,25,0.286
