domain,homepage_url,dataset_split,transport_success,usable_evidence_found,fetch_attempts,primary_method,failure_category,feed_entries_count,supporting_pages_count,evaluation_timestamp
famitsu.com,https://www.famitsu.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
4gamer.net,https://www.4gamer.net/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
jp.ign.com,https://jp.ign.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
automaton-media.com,https://automaton-media.com/,development,False,False,3,http,challenge_page,0,0,2026-06-16T13:35:45.494592+00:00
dengekionline.com,https://dengekionline.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
gamespark.jp,https://www.gamespark.jp/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
gematsu.com,https://www.gematsu.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
inside-games.jp,https://www.inside-games.jp/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
destructoid.com,https://www.destructoid.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
cgmagonline.com,https://www.cgmagonline.com/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
thegamer.com,https://www.thegamer.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
canadiangamingnews.com,https://canadiangamingnews.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
gamecanucks.com,https://gamecanucks.com/,development,False,False,3,http,dns_failed,0,0,2026-06-16T13:35:45.494592+00:00
canadianonlinegamers.com,https://canadianonlinegamers.com/,development,False,False,6,http,connection_error,0,0,2026-06-16T13:35:45.494592+00:00
ign.com,https://www.ign.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
gamespot.com,https://www.gamespot.com/,development,False,False,3,http,http_403,0,0,2026-06-16T13:35:45.494592+00:00
kotaku.com,https://kotaku.com/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
polygon.com,https://www.polygon.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
pcgamer.com,https://www.pcgamer.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
rockpapershotgun.com,https://www.rockpapershotgun.com/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
news.yahoo.co.jp,https://news.yahoo.co.jp/categories/it/gaming,test,False,False,3,http,http_404,0,0,2026-06-16T13:35:45.494592+00:00
oricon.co.jp,https://www.oricon.co.jp/game/,development,False,False,3,http,http_404,0,0,2026-06-16T13:35:45.494592+00:00
itmedia.co.jp,https://www.itmedia.co.jp/news/subtop/game/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
asahi.com,https://www.asahi.com/games/,development,False,False,3,http,http_404,0,0,2026-06-16T13:35:45.494592+00:00
lapresse.ca,https://www.lapresse.ca/jeux,test,False,False,3,http,redirect_failure,0,0,2026-06-16T13:35:45.494592+00:00
journaldemontreal.com,https://www.journaldemontreal.com/jeux,development,False,False,3,http,redirect_failure,0,0,2026-06-16T13:35:45.494592+00:00
theglobeandmail.com,https://www.theglobeandmail.com/technology/gaming/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
cbc.ca,https://www.cbc.ca/news/entertainment/games,development,False,False,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
bbc.com,https://www.bbc.com/news/technology/gaming,development,False,False,3,http,http_404,0,0,2026-06-16T13:35:45.494592+00:00
theverge.com,https://www.theverge.com/games,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
nintendo.co.jp,https://www.nintendo.co.jp/,test,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
square-enix.com,https://www.square-enix.com/jp/,development,False,False,3,http,redirect_failure,0,0,2026-06-16T13:35:45.494592+00:00
bioware.com,https://www.bioware.com/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
ubisoft.com,https://www.ubisoft.com/en-ca/,development,True,True,1,http,,0,0,2026-06-16T13:35:45.494592+00:00
