Target Market,Publication Name,Website URL,Category,Gaming Focus,Monthly Visits,Pages per Visit,Growth Rate,Estimated Monthly Pageviews,Traffic Source URL,Contact Email,Advertising Email,Editorial Contact Page,Media Kit URL,LinkedIn URL,X/Twitter URL,YouTube URL,Notes,Qualification Status
Japan,Game8,https://game8.jp/,Game guides,Yes,15000000.0,3.5,+12.5%,52500000.0,https://www.similarweb.com/website/game8.jp/,,,https://game8.jp/contact,,,,https://www.youtube.com/channel/UCntaF3Ur0l0n2EQzW2jlocA,,Qualified
Japan,GameWith,https://gamewith.jp/,Game guides,Yes,12000000.0,3.2,+5.0%,38400000.0,https://www.similarweb.com/website/gamewith.jp/,,,,,,,,,Qualified
Japan,Famitsu,https://www.famitsu.com/,Gaming news,Partial/Unverified,8000000.0,2.1,-2.3%,16800000.0,https://www.similarweb.com/website/famitsu.com/,,,https://www.famitsu.com/contact,,,https://x.com/famitsu,https://www.youtube.com/channel/UCtPyU9cJgvvgH03PQKgaucA,,Qualified
Japan,4Gamer,https://www.4gamer.net/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,,,,https://x.com/4GamerNews,,,Upcoming
Japan,AppMedia,https://appmedia.jp/,Game guides,Yes,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,https://appmedia.co.jp/contact/,,,https://twitter.com/appmedia_news,https://www.youtube.com/@appmedia-,,Upcoming
Japan,Kamigame,https://kamigame.jp/,Game guides,Yes,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,,,,https://twitter.com/kamigame_info,,,Upcoming
Japan,Altema,https://altema.jp/,Game guides,Yes,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,https://altema.jp/contact,,,,,,Upcoming
Japan,Dengeki Online,https://dengekionline.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,https://kadokawagamelinkage.jp/contact.html,,,https://twitter.com/dengekionline,https://www.youtube.com/user/DENGEKIONLINE,,Upcoming
Japan,Automaton,https://automaton-media.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,https://automaton-media.com/contact/,https://automaton-media.com/advertise/,,https://x.com/AUTOMATONJapan,https://www.youtube.com/channel/UCabvYnvuUUbbGUrxkaFRgSA,,Upcoming
Canada,MobileSyrup,https://mobilesyrup.com/,Tech media with strong gaming coverage,Partial/Unverified,1000000.0,1.5,+18.1%,1500000.0,https://www.similarweb.com/website/mobilesyrup.com/,,,https://mobilesyrup.com/about-us/,https://mobilesyrup.com/categories/sponsored,,https://twitter.com/MobileSyrup,https://www.youtube.com/mobilesyrup,May include global audience. Traffic might not be solely Canadian.,Qualified
Canada,TheGamer,https://www.thegamer.com/,Gaming news,Partial/Unverified,5000000.0,1.8,+8.4%,9000000.0,https://www.similarweb.com/website/thegamer.com/,,,https://www.thegamer.com/contact/,https://www.thegamer.com/page/advertise/,https://ca.linkedin.com/company/thegamer,https://twitter.com/thegamerwebsite,https://www.youtube.com/channel/UCX77Km4pLRsU9OFYEMdIvew,May include global audience. Traffic might not be solely Canadian.,Qualified
Canada,Game Rant,https://gamerant.com/,Gaming news,Partial/Unverified,4500000.0,1.7,-1.2%,7650000.0,https://www.similarweb.com/website/gamerant.com/,,,https://gamerant.com/contact/,https://gamerant.com/page/advertise/,https://ca.linkedin.com/company/gamerant-com,https://twitter.com/gamerant,https://www.youtube.com/channel/UCkZjsmAQnXfS-_5lwMiXKCQ,May include global audience. Traffic might not be solely Canadian.,Qualified
Canada,IGN,https://www.ign.com/,Gaming news,Partial/Unverified,30000000.0,2.5,+4.2%,75000000.0,https://www.similarweb.com/website/ign.com/,ign@forkmediagroup.com,,https://in.ign.com/india/174779/page/contact-us,,,https://twitter.com/IGN_IN,https://www.youtube.com/c/IGNIndia,May include global audience. Traffic might not be solely Canadian.,Qualified
Canada,GameSpot,https://www.gamespot.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,,,,,,May include global audience. Traffic might not be solely Canadian.,Upcoming
Canada,Polygon,https://www.polygon.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,,,https://www.polygon.com/contact/,,,https://x.com/polygon,https://www.youtube.com/user/polygon,May include global audience. Traffic might not be solely Canadian.,Upcoming
Canada,Kotaku,https://kotaku.com/,Gaming news,Partial/Unverified,150000.0,1.5,+25.0%,225000.0,https://www.similarweb.com/website/kotaku.com/,,,https://www.keleops.com/en/contact.html,,,https://x.com/kotaku,https://www.youtube.com/user/KotakuNYC,May include global audience. Traffic might not be solely Canadian.,Upcoming
Canada,PC Gamer,https://www.pcgamer.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,editors@pcgamer.com,,https://futureplc.com/contact/,https://go.future-advertising.com/PC-Gamer-Media-Kit.html,,https://twitter.com/pcgamer,https://www.youtube.com/@pcgamer,May include global audience. Traffic might not be solely Canadian.,Upcoming
Canada,GamesRadar+,https://www.gamesradar.com/,Gaming news,Partial/Unverified,Needs Verification,Needs Verification,0%,Needs Verification,Needs Verification,contactus@gamesradar.com,contactus@gamesradar.com,https://futureplc.com/contact/,https://go.future-advertising.com/GamesRadar-Media-Kit.html,,https://twitter.com/gamesradar,https://www.youtube.com/user/GamesRadar,May include global audience. Traffic might not be solely Canadian.,Upcoming
