target_market,publication_name,website_url,category
Japan,Game8,https://game8.jp/,Game guides
Japan,GameWith,https://gamewith.jp/,Game guides
Japan,Famitsu,https://www.famitsu.com/,Gaming news
Japan,4Gamer,https://www.4gamer.net/,Gaming news
Japan,AppMedia,https://appmedia.jp/,Game guides
Japan,Kamigame,https://kamigame.jp/,Game guides
Japan,Altema,https://altema.jp/,Game guides
Japan,Dengeki Online,https://dengekionline.com/,Gaming news
Japan,Automaton,https://automaton-media.com/,Gaming news
Canada,MobileSyrup,https://mobilesyrup.com/,Tech media with strong gaming coverage
Canada,TheGamer,https://www.thegamer.com/,Gaming news
Canada,Game Rant,https://gamerant.com/,Gaming news
Canada,IGN,https://www.ign.com/,Gaming news
Canada,GameSpot,https://www.gamespot.com/,Gaming news
Canada,Polygon,https://www.polygon.com/,Gaming news
Canada,Kotaku,https://kotaku.com/,Gaming news
Canada,PC Gamer,https://www.pcgamer.com/,Gaming news
Canada,GamesRadar+,https://www.gamesradar.com/,Gaming news
